Bellevue_site, Date, Precipitation, Condition
XRDS,10/1/2000,0.020,
XRDS,10/2/2000,0.000,
XRDS,10/3/2000,0.000,
XRDS,10/4/2000,0.000,
XRDS,10/5/2000,0.000,
XRDS,10/6/2000,0.000,
XRDS,10/7/2000,0.000,
XRDS,10/8/2000,0.000,
XRDS,10/9/2000,0.520,
XRDS,10/10/2000,0.000,
XRDS,10/11/2000,0.000,
XRDS,10/12/2000,0.000,
XRDS,10/13/2000,0.120,
XRDS,10/14/2000,0.640,
XRDS,10/15/2000,0.000,
XRDS,10/16/2000,0.470,
XRDS,10/17/2000,0.260,
XRDS,10/18/2000,0.140,
XRDS,10/19/2000,0.350,
XRDS,10/20/2000,1.250,
XRDS,10/21/2000,0.000,
XRDS,10/22/2000,0.000,
XRDS,10/23/2000,0.000,
XRDS,10/24/2000,0.000,
XRDS,10/25/2000,0.000,
XRDS,10/26/2000,0.000,
XRDS,10/27/2000,0.110,
XRDS,10/28/2000,0.490,
XRDS,10/29/2000,0.140,
XRDS,10/30/2000,0.000,
XRDS,10/31/2000,0.000,
XRDS,11/1/2000,0.000,
XRDS,11/2/2000,0.000,
XRDS,11/3/2000,0.000,
XRDS,11/4/2000,0.090,
XRDS,11/5/2000,0.110,
XRDS,11/6/2000,0.060,
XRDS,11/7/2000,0.000,
XRDS,11/8/2000,0.930,
XRDS,11/9/2000,0.050,
XRDS,11/10/2000,0.000,
XRDS,11/11/2000,0.000,
XRDS,11/12/2000,0.000,
XRDS,11/13/2000,0.000,
XRDS,11/14/2000,0.000,
XRDS,11/15/2000,0.000,
XRDS,11/16/2000,0.000,
XRDS,11/17/2000,0.010,
XRDS,11/18/2000,0.000,
XRDS,11/19/2000,0.000,
XRDS,11/20/2000,0.000,
XRDS,11/21/2000,0.000,
XRDS,11/22/2000,0.000,
XRDS,11/23/2000,0.320,
XRDS,11/24/2000,0.010,
XRDS,11/25/2000,0.270,
XRDS,11/26/2000,1.050,
XRDS,11/27/2000,0.240,
XRDS,11/28/2000,0.000,
XRDS,11/29/2000,0.200,
XRDS,11/30/2000,0.100,
XRDS,12/1/2000,0.010,
XRDS,12/2/2000,0.190,
XRDS,12/3/2000,0.010,
XRDS,12/4/2000,0.000,
XRDS,12/5/2000,0.000,
XRDS,12/6/2000,0.010,
XRDS,12/7/2000,0.000,
XRDS,12/8/2000,0.060,
XRDS,12/9/2000,0.130,
XRDS,12/10/2000,0.060,
XRDS,12/11/2000,0.000,
XRDS,12/12/2000,0.000,
XRDS,12/13/2000,0.000,
XRDS,12/14/2000,0.250,
XRDS,12/15/2000,0.000,
XRDS,12/16/2000,0.610,
XRDS,12/17/2000,0.000,
XRDS,12/18/2000,0.000,
XRDS,12/19/2000,0.010,
XRDS,12/20/2000,0.020,
XRDS,12/21/2000,0.050,
XRDS,12/22/2000,0.320,
XRDS,12/23/2000,0.280,
XRDS,12/24/2000,0.010,
XRDS,12/25/2000,0.110,
XRDS,12/26/2000,0.020,
XRDS,12/27/2000,0.040,
XRDS,12/28/2000,0.000,
XRDS,12/29/2000,0.030,
XRDS,12/30/2000,0.100,
XRDS,12/31/2000,0.190,
XRDS,1/1/2001,0.000,
XRDS,1/2/2001,0.000,
XRDS,1/3/2001,0.340,
XRDS,1/4/2001,0.510,
XRDS,1/5/2001,0.200,
XRDS,1/6/2001,0.000,
XRDS,1/7/2001,0.000,
XRDS,1/8/2001,0.030,
XRDS,1/9/2001,0.080,
XRDS,1/10/2001,0.020,
XRDS,1/11/2001,0.000,
XRDS,1/12/2001,0.070,
XRDS,1/13/2001,0.100,
XRDS,1/14/2001,0.120,
XRDS,1/15/2001,0.000,
XRDS,1/16/2001,0.000,
XRDS,1/17/2001,0.080,
XRDS,1/18/2001,0.170,
XRDS,1/19/2001,0.060,
XRDS,1/20/2001,0.000,
XRDS,1/21/2001,0.830,
XRDS,1/22/2001,0.010,
XRDS,1/23/2001,0.000,
XRDS,1/24/2001,0.050,
XRDS,1/25/2001,0.000,
XRDS,1/26/2001,0.000,
XRDS,1/27/2001,0.000,
XRDS,1/28/2001,0.000,
XRDS,1/29/2001,0.310,
XRDS,1/30/2001,0.000,
XRDS,1/31/2001,0.000,
XRDS,2/1/2001,0.010,
XRDS,2/2/2001,0.560,
XRDS,2/3/2001,0.020,
XRDS,2/4/2001,0.390,
XRDS,2/5/2001,0.050,
XRDS,2/6/2001,0.020,
XRDS,2/7/2001,0.000,
XRDS,2/8/2001,0.310,
XRDS,2/9/2001,0.000,
XRDS,2/10/2001,0.000,
XRDS,2/11/2001,0.000,
XRDS,2/12/2001,0.000,
XRDS,2/13/2001,0.000,
XRDS,2/14/2001,0.000,
XRDS,2/15/2001,0.550,
XRDS,2/16/2001,0.500,
XRDS,2/17/2001,0.010,
XRDS,2/18/2001,0.110,
XRDS,2/19/2001,0.010,
XRDS,2/20/2001,0.000,
XRDS,2/21/2001,0.090,
XRDS,2/22/2001,0.010,
XRDS,2/23/2001,0.020,
XRDS,2/24/2001,0.010,
XRDS,2/25/2001,0.000,
XRDS,2/26/2001,0.000,
XRDS,2/27/2001,0.000,
XRDS,2/28/2001,0.000,
XRDS,3/1/2001,0.320,
XRDS,3/2/2001,0.020,
XRDS,3/3/2001,0.000,
XRDS,3/4/2001,0.000,
XRDS,3/5/2001,0.010,
XRDS,3/6/2001,0.000,
XRDS,3/7/2001,0.000,
XRDS,3/8/2001,0.110,
XRDS,3/9/2001,0.120,
XRDS,3/10/2001,0.000,
XRDS,3/11/2001,0.000,
XRDS,3/12/2001,0.060,
XRDS,3/13/2001,0.050,
XRDS,3/14/2001,0.020,
XRDS,3/15/2001,0.440,
XRDS,3/16/2001,0.000,
XRDS,3/17/2001,0.000,
XRDS,3/18/2001,0.600,
XRDS,3/19/2001,0.010,
XRDS,3/20/2001,0.000,
XRDS,3/21/2001,0.000,
XRDS,3/22/2001,0.000,
XRDS,3/23/2001,0.000,
XRDS,3/24/2001,0.070,
XRDS,3/25/2001,0.110,
XRDS,3/26/2001,0.170,
XRDS,3/27/2001,0.190,
XRDS,3/28/2001,0.140,
XRDS,3/29/2001,0.030,
XRDS,3/30/2001,0.350,
XRDS,3/31/2001,0.070,
XRDS,4/1/2001,0.210,
XRDS,4/2/2001,0.190,
XRDS,4/3/2001,0.020,
XRDS,4/4/2001,0.000,
XRDS,4/5/2001,0.220,
XRDS,4/6/2001,0.120,
XRDS,4/7/2001,0.180,
XRDS,4/8/2001,0.020,
XRDS,4/9/2001,0.000,
XRDS,4/10/2001,0.610,
XRDS,4/11/2001,0.000,
XRDS,4/12/2001,0.210,
XRDS,4/13/2001,0.000,
XRDS,4/14/2001,0.000,
