Enumclaw_site, Date, Precipitation, Condition
44u,2/12/1998,0.050,
44u,2/13/1998,0.370,
44u,2/14/1998,0.040,
44u,2/15/1998,0.190,
44u,2/16/1998,0.000,
44u,2/17/1998,0.000,
44u,2/18/1998,0.200,
44u,2/19/1998,0.010,
44u,2/20/1998,0.010,
44u,2/21/1998,0.230,
44u,2/22/1998,0.120,
44u,2/23/1998,0.000,
44u,2/24/1998,0.000,
44u,2/25/1998,0.070,
44u,2/26/1998,0.050,
44u,2/27/1998,0.000,
44u,2/28/1998,0.210,
44u,3/1/1998,0.410,
44u,3/2/1998,0.790,
44u,3/3/1998,0.440,
44u,3/4/1998,0.000,
44u,3/5/1998,0.030,
44u,3/6/1998,0.000,
44u,3/7/1998,0.000,
44u,3/8/1998,0.240,
44u,3/9/1998,0.960,
44u,3/10/1998,0.070,
44u,3/11/1998,0.000,
44u,3/12/1998,0.000,
44u,3/13/1998,0.000,
44u,3/14/1998,0.000,
44u,3/15/1998,0.030,
44u,3/16/1998,0.180,
44u,3/17/1998,0.020,
44u,3/18/1998,0.000,
44u,3/19/1998,0.000,
44u,3/20/1998,0.000,
44u,3/21/1998,0.200,
44u,3/22/1998,1.140,
44u,3/23/1998,0.390,
44u,3/24/1998,0.110,
44u,3/25/1998,0.090,
44u,3/26/1998,0.210,
44u,3/27/1998,0.010,
44u,3/28/1998,0.050,
44u,3/29/1998,0.000,
44u,3/30/1998,0.020,
44u,3/31/1998,0.160,
44u,4/1/1998,0.000,
44u,4/2/1998,0.000,
44u,4/3/1998,0.070,
44u,4/4/1998,0.010,
44u,4/5/1998,0.010,
44u,4/6/1998,0.060,
44u,4/7/1998,0.260,
44u,4/8/1998,0.000,
44u,4/9/1998,0.070,
44u,4/10/1998,0.190,
44u,4/11/1998,0.270,
44u,4/12/1998,0.000,
44u,4/13/1998,0.560,
44u,4/14/1998,0.070,
44u,4/15/1998,0.000,
44u,4/16/1998,0.000,
44u,4/17/1998,0.000,
44u,4/18/1998,0.030,
44u,4/19/1998,0.010,
44u,4/20/1998,0.000,
44u,4/21/1998,0.000,
44u,4/22/1998,0.000,
44u,4/23/1998,0.720,
44u,4/24/1998,0.000,
44u,4/25/1998,0.000,
44u,4/26/1998,0.000,
44u,4/27/1998,0.000,
44u,4/28/1998,0.000,
44u,4/29/1998,0.000,
44u,4/30/1998,0.000,
44u,5/1/1998,0.010,
44u,5/2/1998,0.040,
44u,5/3/1998,0.250,
44u,5/4/1998,0.000,
44u,5/5/1998,0.020,
44u,5/6/1998,0.020,
44u,5/7/1998,0.020,
44u,5/8/1998,0.070,
44u,5/9/1998,0.060,
44u,5/10/1998,0.020,
44u,5/11/1998,0.050,
44u,5/12/1998,0.210,
44u,5/13/1998,0.060,
44u,5/14/1998,0.450,
44u,5/15/1998,0.040,
44u,5/16/1998,0.220,
44u,5/17/1998,0.280,
44u,5/18/1998,0.010,
44u,5/19/1998,0.320,
44u,5/20/1998,0.210,
44u,5/21/1998,0.260,
44u,5/22/1998,0.000,
44u,5/23/1998,0.010,
44u,5/24/1998,1.150,
44u,5/25/1998,0.370,
44u,5/26/1998,0.480,
44u,5/27/1998,1.080,
44u,5/28/1998,0.000,
44u,5/29/1998,0.080,
44u,5/30/1998,0.010,
44u,5/31/1998,0.000,
44u,6/1/1998,0.010,
44u,6/2/1998,0.060,
44u,6/3/1998,0.030,
44u,6/4/1998,0.190,
44u,6/5/1998,0.010,
44u,6/6/1998,0.000,
44u,6/7/1998,0.070,
44u,6/8/1998,0.040,
44u,6/9/1998,0.010,
44u,6/10/1998,0.960,
44u,6/11/1998,0.200,
44u,6/12/1998,0.000,
44u,6/13/1998,0.000,
44u,6/14/1998,0.030,
44u,6/15/1998,0.800,
44u,6/16/1998,0.010,
44u,6/17/1998,0.000,
44u,6/18/1998,0.170,
44u,6/19/1998,0.110,
44u,6/20/1998,0.030,
44u,6/21/1998,0.040,
44u,6/22/1998,0.000,
44u,6/23/1998,0.100,
44u,6/24/1998,0.480,
44u,6/25/1998,0.200,
44u,6/26/1998,0.090,
44u,6/27/1998,0.000,
44u,6/28/1998,0.000,
44u,6/29/1998,0.000,
44u,6/30/1998,0.000,
44u,7/1/1998,0.030,
44u,7/2/1998,0.110,
44u,7/3/1998,0.100,
44u,7/4/1998,0.370,
44u,7/5/1998,0.020,
44u,7/6/1998,0.000,
44u,7/7/1998,0.000,
44u,7/8/1998,0.000,
44u,7/9/1998,0.000,
44u,7/10/1998,0.030,
44u,7/11/1998,0.000,
44u,7/12/1998,0.000,
44u,7/13/1998,0.000,
44u,7/14/1998,0.020,
44u,7/15/1998,0.040,
44u,7/16/1998,0.000,
44u,7/17/1998,0.000,
44u,7/18/1998,0.000,
44u,7/19/1998,0.000,
44u,7/20/1998,0.000,
44u,7/21/1998,0.000,
44u,7/22/1998,0.000,
44u,7/23/1998,0.000,
44u,7/24/1998,0.020,
44u,7/25/1998,0.000,
44u,7/26/1998,0.000,
44u,7/27/1998,0.000,
44u,7/28/1998,0.000,
44u,7/29/1998,0.000,
44u,7/30/1998,0.040,
44u,7/31/1998,0.110,
44u,8/1/1998,0.000,
44u,8/2/1998,0.000,
44u,8/3/1998,0.000,
44u,8/4/1998,0.000,
44u,8/5/1998,0.000,
44u,8/6/1998,0.000,
44u,8/7/1998,0.000,
44u,8/8/1998,0.000,
44u,8/9/1998,0.000,
44u,8/10/1998,0.000,
44u,8/11/1998,0.000,
44u,8/12/1998,0.000,
44u,8/13/1998,0.000,
44u,8/14/1998,0.000,
44u,8/15/1998,0.000,
44u,8/16/1998,0.600,
44u,8/17/1998,0.000,
44u,8/18/1998,0.000,
