Mukilteo_site, Date, Precipitation, Condition
SERE,10/1/2000,0.010,E,
SERE,10/2/2000,0.000,E,
SERE,10/3/2000,0.000,E,
SERE,10/4/2000,0.000,E,
SERE,10/5/2000,0.000,E,
SERE,10/6/2000,0.000,E,
SERE,10/7/2000,0.000,E,
SERE,10/8/2000,0.000,E,
SERE,10/9/2000,0.440,E,
SERE,10/10/2000,0.000,E,
SERE,10/11/2000,0.000,E,
SERE,10/12/2000,0.060,
SERE,10/13/2000,0.200,
SERE,10/14/2000,0.010,
SERE,10/15/2000,0.000,
SERE,10/16/2000,0.340,
SERE,10/17/2000,0.060,
SERE,10/18/2000,0.020,
SERE,10/19/2000,0.340,
SERE,10/20/2000,0.620,
SERE,10/21/2000,0.000,
SERE,10/22/2000,0.000,
SERE,10/23/2000,0.000,
SERE,10/24/2000,0.000,
SERE,10/25/2000,0.000,
SERE,10/26/2000,0.000,
SERE,10/27/2000,0.240,
SERE,10/28/2000,0.450,
SERE,10/29/2000,0.090,
SERE,10/30/2000,0.000,
SERE,10/31/2000,0.000,
SERE,11/1/2000,0.000,
SERE,11/2/2000,0.000,
SERE,11/3/2000,0.000,
SERE,11/4/2000,0.450,
SERE,11/5/2000,0.060,
SERE,11/6/2000,0.010,
SERE,11/7/2000,0.000,
SERE,11/8/2000,1.030,
SERE,11/9/2000,0.010,
SERE,11/10/2000,0.000,
SERE,11/11/2000,0.000,
SERE,11/12/2000,0.000,
SERE,11/13/2000,0.000,
SERE,11/14/2000,0.000,
SERE,11/15/2000,0.000,
SERE,11/16/2000,0.000,
SERE,11/17/2000,0.000,
SERE,11/18/2000,0.000,
SERE,11/19/2000,0.000,
SERE,11/20/2000,0.000,
SERE,11/21/2000,0.000,
SERE,11/22/2000,0.000,
SERE,11/23/2000,0.110,
SERE,11/24/2000,0.000,
SERE,11/25/2000,0.030,
SERE,11/26/2000,0.600,
SERE,11/27/2000,0.190,
SERE,11/28/2000,0.000,
SERE,11/29/2000,0.140,
SERE,11/30/2000,0.070,
SERE,12/1/2000,0.020,
SERE,12/2/2000,0.200,
SERE,12/3/2000,0.000,
SERE,12/4/2000,0.010,
SERE,12/5/2000,0.000,
SERE,12/6/2000,0.000,
SERE,12/7/2000,0.000,
SERE,12/8/2000,0.030,
SERE,12/9/2000,0.140,
SERE,12/10/2000,0.080,
SERE,12/11/2000,0.000,
SERE,12/12/2000,0.000,
SERE,12/13/2000,0.000,
SERE,12/14/2000,0.250,
SERE,12/15/2000,0.000,
SERE,12/16/2000,0.500,
SERE,12/17/2000,0.000,
SERE,12/18/2000,0.000,
SERE,12/19/2000,0.030,
SERE,12/20/2000,0.050,
SERE,12/21/2000,0.120,
SERE,12/22/2000,0.210,
SERE,12/23/2000,0.230,
SERE,12/24/2000,0.080,
SERE,12/25/2000,0.180,
SERE,12/26/2000,0.010,
SERE,12/27/2000,0.060,
SERE,12/28/2000,0.000,
SERE,12/29/2000,0.060,
SERE,12/30/2000,0.020,
SERE,12/31/2000,0.180,
SERE,1/1/2001,0.000,
SERE,1/2/2001,0.010,
SERE,1/3/2001,0.500,
SERE,1/4/2001,0.290,
SERE,1/5/2001,0.240,
SERE,1/6/2001,0.040,
SERE,1/7/2001,0.000,
SERE,1/8/2001,0.020,
SERE,1/9/2001,0.170,
SERE,1/10/2001,0.010,
SERE,1/11/2001,0.000,
SERE,1/12/2001,0.000,
SERE,1/13/2001,0.040,
SERE,1/14/2001,0.130,
SERE,1/15/2001,0.000,
SERE,1/16/2001,0.000,
SERE,1/17/2001,0.110,
SERE,1/18/2001,0.260,
SERE,1/19/2001,0.010,
SERE,1/20/2001,0.010,
SERE,1/21/2001,0.510,
SERE,1/22/2001,0.020,
SERE,1/23/2001,0.000,
SERE,1/24/2001,0.000,
SERE,1/25/2001,0.000,
SERE,1/26/2001,0.000,
SERE,1/27/2001,0.000,
SERE,1/28/2001,0.110,
SERE,1/29/2001,0.220,
SERE,1/30/2001,0.000,
SERE,1/31/2001,0.000,
SERE,2/1/2001,0.040,
SERE,2/2/2001,0.140,
SERE,2/3/2001,0.080,
SERE,2/4/2001,0.100,
SERE,2/5/2001,0.030,
SERE,2/6/2001,0.030,
SERE,2/7/2001,0.000,
SERE,2/8/2001,0.190,
SERE,2/9/2001,0.000,
SERE,2/10/2001,0.000,
SERE,2/11/2001,0.000,
SERE,2/12/2001,0.000,
SERE,2/13/2001,0.000,
SERE,2/14/2001,0.000,
SERE,2/15/2001,0.040,
SERE,2/16/2001,0.640,
SERE,2/17/2001,0.060,
SERE,2/18/2001,0.070,
SERE,2/19/2001,0.010,
SERE,2/20/2001,0.000,
SERE,2/21/2001,0.010,
SERE,2/22/2001,0.010,
SERE,2/23/2001,0.160,
SERE,2/24/2001,0.020,
SERE,2/25/2001,0.000,
SERE,2/26/2001,0.000,
SERE,2/27/2001,0.000,
SERE,2/28/2001,0.000,
