North_Vashon_site, Date, Precipitation, Condition
43u,10/1/1998,0.060,E,
43u,10/2/1998,0.000,E,
43u,10/3/1998,0.460,E,
43u,10/4/1998,0.000,E,
43u,10/5/1998,0.000,E,
43u,10/6/1998,0.000,E,
43u,10/7/1998,0.000,E,
43u,10/8/1998,0.280,E,
43u,10/9/1998,0.200,E,
43u,10/10/1998,0.020,E,
43u,10/11/1998,0.000,E,
43u,10/12/1998,0.750,E,
43u,10/13/1998,0.200,E,
43u,10/14/1998,0.220,E,
43u,10/15/1998,0.000,E,
43u,10/16/1998,0.000,E,
43u,10/17/1998,0.120,E,
43u,10/18/1998,0.000,E,
43u,10/19/1998,0.000,E,
43u,10/20/1998,0.000,E,
43u,10/21/1998,0.000,E,
43u,10/22/1998,0.000,E,
43u,10/23/1998,0.020,E,
43u,10/24/1998,0.030,E,
43u,10/25/1998,0.000,E,
43u,10/26/1998,0.000,E,
43u,10/27/1998,0.750,E,
43u,10/28/1998,0.000,E,
43u,10/29/1998,0.000,E,
43u,10/30/1998,0.000,E,
43u,10/31/1998,0.190,E,
43u,11/1/1998,0.030,E,
43u,11/2/1998,0.080,E,
43u,11/3/1998,0.040,E,
43u,11/4/1998,0.850,E,
43u,11/5/1998,0.370,E,
43u,11/6/1998,0.000,E,
43u,11/7/1998,0.000,E,
43u,11/8/1998,0.010,E,
43u,11/9/1998,0.050,E,
43u,11/10/1998,0.030,E,
43u,11/11/1998,0.090,E,
43u,11/12/1998,0.300,E,
43u,11/13/1998,0.400,E,
43u,11/14/1998,0.400,E,
43u,11/15/1998,0.280,E,
43u,11/16/1998,0.140,E,
43u,11/17/1998,0.000,E,
43u,11/18/1998,0.000,E,
43u,11/19/1998,0.490,E,
43u,11/20/1998,1.130,E,
43u,11/21/1998,0.720,E,
43u,11/22/1998,0.460,E,
43u,11/23/1998,0.180,E,
43u,11/24/1998,0.330,E,
43u,11/25/1998,2.550,E,
43u,11/26/1998,0.890,E,
43u,11/27/1998,0.050,E,
43u,11/28/1998,0.000,E,
43u,11/29/1998,0.410,E,
43u,11/30/1998,0.310,E,
43u,12/1/1998,0.750,E,
43u,12/2/1998,0.130,E,
43u,12/3/1998,0.000,E,
43u,12/4/1998,0.000,E,
43u,12/5/1998,0.230,E,
43u,12/6/1998,0.010,E,
43u,12/7/1998,0.710,E,
43u,12/8/1998,0.000,E,
43u,12/9/1998,0.000,E,
43u,12/10/1998,0.180,E,
43u,12/11/1998,0.920,E,
43u,12/12/1998,1.060,E,
43u,12/13/1998,1.190,E,
43u,12/14/1998,0.010,E,
43u,12/15/1998,0.010,E,
43u,12/16/1998,0.000,E,
43u,12/17/1998,0.180,E,
43u,12/18/1998,0.000,E,
43u,12/19/1998,0.000,E,
43u,12/20/1998,0.000,E,
43u,12/21/1998,0.000,E,
43u,12/22/1998,0.000,E,
43u,12/23/1998,0.000,E,
43u,12/24/1998,0.490,E,
43u,12/25/1998,0.910,E,
43u,12/26/1998,0.040,E,
43u,12/27/1998,1.260,E,
43u,12/28/1998,0.030,E,
43u,12/29/1998,1.000,E,
43u,12/30/1998,0.010,E,
43u,12/31/1998,0.290,E,
43u,1/1/1999,0.000,E,
43u,1/2/1999,0.000,E,
43u,1/3/1999,0.000,E,
43u,1/4/1999,0.000,E,
43u,1/5/1999,0.000,E,
43u,1/6/1999,0.060,
43u,1/7/1999,0.010,
43u,1/8/1999,0.000,
43u,1/9/1999,0.090,
43u,1/10/1999,0.080,
43u,1/11/1999,0.010,
43u,1/12/1999,0.000,
43u,1/13/1999,0.220,
43u,1/14/1999,1.460,
43u,1/15/1999,0.320,
43u,1/16/1999,0.760,
43u,1/17/1999,0.720,
43u,1/18/1999,0.950,
43u,1/19/1999,0.520,
43u,1/20/1999,0.180,
43u,1/21/1999,0.190,
43u,1/22/1999,0.470,
43u,1/23/1999,0.210,
43u,1/24/1999,0.000,
43u,1/25/1999,0.000,
43u,1/26/1999,0.030,
43u,1/27/1999,1.000,
43u,1/28/1999,1.550,
43u,1/29/1999,0.300,
43u,1/30/1999,0.140,
43u,1/31/1999,0.350,
43u,2/1/1999,0.770,
43u,2/2/1999,0.300,
43u,2/3/1999,0.350,
43u,2/4/1999,0.200,
43u,2/5/1999,0.440,
43u,2/6/1999,0.770,
43u,2/7/1999,0.760,
43u,2/8/1999,0.300,
43u,2/9/1999,0.170,
43u,2/10/1999,0.030,
43u,2/11/1999,0.000,
43u,2/12/1999,0.000,
43u,2/13/1999,0.310,
43u,2/14/1999,0.000,
43u,2/15/1999,0.090,
43u,2/16/1999,0.660,
43u,2/17/1999,0.130,
43u,2/18/1999,0.570,
43u,2/19/1999,0.110,
43u,2/20/1999,0.080,
43u,2/21/1999,0.100,
43u,2/22/1999,0.930,
43u,2/23/1999,1.000,
43u,2/24/1999,1.500,
43u,2/25/1999,0.030,
43u,2/26/1999,0.000,
43u,2/27/1999,1.310,
43u,2/28/1999,0.500,
43u,3/1/1999,0.440,
43u,3/2/1999,0.280,
43u,3/3/1999,0.570,
43u,3/4/1999,0.130,
43u,3/5/1999,0.010,
43u,3/6/1999,0.000,
43u,3/7/1999,0.000,
43u,3/8/1999,0.320,
43u,3/9/1999,0.020,
43u,3/10/1999,0.020,
43u,3/11/1999,0.000,
43u,3/12/1999,0.760,
43u,3/13/1999,0.790,
43u,3/14/1999,0.170,
43u,3/15/1999,0.050,
43u,3/16/1999,0.000,
43u,3/17/1999,0.080,
43u,3/18/1999,0.060,
43u,3/19/1999,0.000,
43u,3/20/1999,0.000,
43u,3/21/1999,0.070,
43u,3/22/1999,0.080,
43u,3/23/1999,0.020,
43u,3/24/1999,0.190,
43u,3/25/1999,0.230,
43u,3/26/1999,0.050,
43u,3/27/1999,0.070,
43u,3/28/1999,0.330,
43u,3/29/1999,0.470,
43u,3/30/1999,0.030,
43u,3/31/1999,0.000,
43u,4/1/1999,0.000,
43u,4/2/1999,0.170,
43u,4/3/1999,0.140,
43u,4/4/1999,0.010,
43u,4/5/1999,0.030,
43u,4/6/1999,0.000,
43u,4/7/1999,0.080,
43u,4/8/1999,0.150,
43u,4/9/1999,0.050,
43u,4/10/1999,0.180,
43u,4/11/1999,0.000,
43u,4/12/1999,0.020,
43u,4/13/1999,0.000,
43u,4/14/1999,0.000,
43u,4/15/1999,0.000,
43u,4/16/1999,0.000,
43u,4/17/1999,0.010,
43u,4/18/1999,0.010,
43u,4/19/1999,0.170,
43u,4/20/1999,0.130,
43u,4/21/1999,0.000,
43u,4/22/1999,0.000,
43u,4/23/1999,0.000,
43u,4/24/1999,0.000,
43u,4/25/1999,0.150,
43u,4/26/1999,0.030,
43u,4/27/1999,0.060,
43u,4/28/1999,0.000,
43u,4/29/1999,0.000,
43u,4/30/1999,0.060,
43u,5/1/1999,0.030,
43u,5/2/1999,0.150,
43u,5/3/1999,0.060,
43u,5/4/1999,0.000,
43u,5/5/1999,0.000,
43u,5/6/1999,0.130,
43u,5/7/1999,0.080,
43u,5/8/1999,0.000,
43u,5/9/1999,0.130,
43u,5/10/1999,0.000,
43u,5/11/1999,0.150,
43u,5/12/1999,0.310,
43u,5/13/1999,0.050,
43u,5/14/1999,0.000,
43u,5/15/1999,0.000,
43u,5/16/1999,0.070,
43u,5/17/1999,0.300,
43u,5/18/1999,0.030,
43u,5/19/1999,0.000,
43u,5/20/1999,0.000,
43u,5/21/1999,0.000,
43u,5/22/1999,0.000,
43u,5/23/1999,0.000,
43u,5/24/1999,0.000,
43u,5/25/1999,0.140,
