Site_Code,Collect Date (local),Precipitation (inches),E = Estimate; W = Warning; P = Provisional; S = Snow Or Ice
42u,8/1/1990,0.000,
42u,8/2/1990,0.000,
42u,8/3/1990,0.000,
42u,8/4/1990,0.000,
42u,8/5/1990,0.000,
42u,8/6/1990,0.000,
42u,8/7/1990,0.000,
42u,8/8/1990,0.000,
42u,8/9/1990,0.000,
42u,8/10/1990,0.000,
42u,8/11/1990,0.000,
42u,8/12/1990,0.000,
42u,8/13/1990,0.000,
42u,8/14/1990,0.000,
42u,8/15/1990,0.000,
42u,8/16/1990,0.000,
42u,8/17/1990,0.020,
42u,8/18/1990,0.040,
42u,8/19/1990,0.040,
42u,8/20/1990,0.000,
42u,8/21/1990,0.140,
42u,8/22/1990,0.000,
42u,8/23/1990,0.000,
42u,8/24/1990,0.000,
42u,8/25/1990,0.000,
42u,8/26/1990,0.000,
42u,8/27/1990,0.000,
42u,8/28/1990,0.000,
42u,8/29/1990,0.260,
42u,8/30/1990,0.280,
42u,8/31/1990,0.040,
42u,9/1/1990,0.000,
42u,9/2/1990,0.000,
42u,9/3/1990,0.000,
42u,9/4/1990,0.000,
42u,9/5/1990,0.000,
42u,9/6/1990,0.000,
42u,9/7/1990,0.020,
42u,9/8/1990,0.000,
42u,9/9/1990,0.000,
42u,9/10/1990,0.000,
42u,9/11/1990,0.000,
42u,9/12/1990,0.000,
42u,9/13/1990,0.000,
42u,9/14/1990,0.000,
42u,9/15/1990,0.000,
42u,9/16/1990,0.040,
42u,9/17/1990,0.000,
42u,9/18/1990,0.000,
42u,9/19/1990,0.000,
42u,9/20/1990,0.000,
42u,9/21/1990,0.000,
42u,9/22/1990,0.000,
42u,9/23/1990,0.000,
42u,9/24/1990,0.000,
42u,9/25/1990,0.000,
42u,9/26/1990,0.000,
42u,9/27/1990,0.000,
42u,9/28/1990,0.000,
42u,9/29/1990,0.000,
42u,9/30/1990,0.000,
42u,10/1/1990,0.040,
42u,10/2/1990,0.120,
42u,10/3/1990,0.180,
42u,10/4/1990,0.620,
42u,10/5/1990,0.020,
42u,10/6/1990,0.080,
42u,10/7/1990,0.000,
42u,10/8/1990,0.000,
42u,10/9/1990,0.060,
42u,10/10/1990,0.000,
42u,10/11/1990,0.220,
42u,10/12/1990,0.040,
42u,10/13/1990,0.000,
42u,10/14/1990,0.680,
42u,10/15/1990,0.360,
42u,10/16/1990,0.080,
42u,10/17/1990,0.280,
42u,10/18/1990,0.100,
42u,10/19/1990,0.000,
42u,10/20/1990,0.060,
42u,10/21/1990,0.740,
42u,10/22/1990,0.000,
42u,10/23/1990,0.000,
42u,10/24/1990,0.000,
42u,10/25/1990,0.180,
42u,10/26/1990,0.000,
42u,10/27/1990,0.140,
42u,10/28/1990,0.240,
42u,10/29/1990,0.340,
42u,10/30/1990,0.140,
42u,10/31/1990,1.280,
42u,11/1/1990,0.000,
