site, Date, Precipitation, Condition
19U,10/12/2009,0.000,
19U,10/13/2009,0.100,
19U,10/14/2009,0.900,
19U,10/15/2009,0.030,
19U,10/16/2009,0.740,
19U,10/17/2009,0.720,
19U,10/18/2009,0.200,
19U,10/19/2009,0.000,
19U,10/20/2009,0.000,
19U,10/21/2009,0.180,
19U,10/22/2009,0.010,
19U,10/23/2009,0.740,
19U,10/24/2009,0.010,
19U,10/25/2009,0.240,
19U,10/26/2009,1.920,
19U,10/27/2009,0.030,
19U,10/28/2009,0.060,
19U,10/29/2009,0.420,
19U,10/30/2009,0.150,
19U,10/31/2009,0.150,
19U,11/1/2009,0.000,
19U,11/2/2009,0.010,
19U,11/3/2009,0.010,
19U,11/4/2009,0.000,
19U,11/5/2009,0.710,
19U,11/6/2009,1.040,
19U,11/7/2009,0.910,
19U,11/8/2009,0.070,
19U,11/9/2009,0.400,
19U,11/10/2009,0.390,
19U,11/11/2009,0.070,
19U,11/12/2009,0.000,
19U,11/13/2009,0.400,
19U,11/14/2009,0.020,
19U,11/15/2009,0.260,
19U,11/16/2009,0.790,
19U,11/17/2009,1.190,
19U,11/18/2009,0.590,
19U,11/19/2009,0.610,
19U,11/20/2009,0.220,
19U,11/21/2009,0.110,
19U,11/22/2009,0.660,
19U,11/23/2009,0.110,
19U,11/24/2009,0.270,
19U,11/25/2009,0.000,
19U,11/26/2009,0.680,
19U,11/27/2009,0.070,
19U,11/28/2009,0.000,
19U,11/29/2009,0.000,
19U,11/30/2009,0.020,
19U,12/1/2009,0.020,
19U,12/2/2009,0.000,
19U,12/3/2009,0.000,
19U,12/4/2009,0.000,
19U,12/5/2009,0.000,
19U,12/6/2009,0.000,
19U,12/7/2009,0.000,
19U,12/8/2009,0.000,
19U,12/9/2009,0.000,
19U,12/10/2009,0.000,
19U,12/11/2009,0.000,
19U,12/12/2009,0.000,
19U,12/13/2009,0.030,
19U,12/14/2009,0.360,
19U,12/15/2009,0.430,
19U,12/16/2009,0.510,
19U,12/17/2009,0.040,
19U,12/18/2009,0.000,
19U,12/19/2009,0.680,
19U,12/20/2009,0.270,
19U,12/21/2009,0.360,
19U,12/22/2009,0.020,
19U,12/23/2009,0.000,
19U,12/24/2009,0.010,
19U,12/25/2009,0.010,
19U,12/26/2009,0.000,
19U,12/27/2009,0.000,
19U,12/28/2009,0.000,
19U,12/29/2009,0.010,
19U,12/30/2009,0.000,
19U,12/31/2009,0.290,
19U,1/1/2010,1.020,
19U,1/2/2010,0.100,
19U,1/3/2010,0.020,
19U,1/4/2010,0.410,
19U,1/5/2010,0.290,
19U,1/6/2010,0.000,
19U,1/7/2010,0.000,
19U,1/8/2010,0.670,
19U,1/9/2010,0.110,
19U,1/10/2010,0.000,
19U,1/11/2010,0.540,
19U,1/12/2010,0.400,
19U,1/13/2010,0.800,
19U,1/14/2010,0.270,
19U,1/15/2010,0.490,
19U,1/16/2010,0.000,
19U,1/17/2010,0.010,
19U,1/18/2010,0.010,
19U,1/19/2010,0.000,
19U,1/20/2010,0.000,
19U,1/21/2010,0.000,
19U,1/22/2010,0.000,
19U,1/23/2010,0.040,
19U,1/24/2010,0.300,
19U,1/25/2010,0.050,
19U,1/26/2010,0.000,
19U,1/27/2010,0.000,
19U,1/28/2010,0.000,
19U,1/29/2010,0.000,
19U,1/30/2010,0.190,
19U,1/31/2010,0.050,
19U,2/1/2010,0.020,
19U,2/2/2010,0.030,
19U,2/3/2010,0.140,
19U,2/4/2010,0.010,
19U,2/5/2010,0.060,
19U,2/6/2010,0.050,
19U,2/7/2010,0.090,
19U,2/8/2010,0.000,
19U,2/9/2010,0.000,
19U,2/10/2010,0.060,
19U,2/11/2010,0.100,
19U,2/12/2010,0.400,
19U,2/13/2010,0.110,
19U,2/14/2010,0.210,
19U,2/15/2010,0.000,
19U,2/16/2010,0.210,
19U,2/17/2010,0.000,
19U,2/18/2010,0.000,
19U,2/19/2010,0.000,
19U,2/20/2010,0.000,
19U,2/21/2010,0.000,
19U,2/22/2010,0.000,
19U,2/23/2010,0.000,
19U,2/24/2010,0.320,
19U,2/25/2010,0.110,
19U,2/26/2010,0.290,
19U,2/27/2010,0.100,
