Site_Code,Collect Date (local),Precipitation (inches),E = Estimate; W = Warning; P = Provisional; S = Snow Or Ice
27u,10/1/1988,0.000,
27u,10/2/1988,0.000,
27u,10/3/1988,0.000,
27u,10/4/1988,0.000,
27u,10/5/1988,0.000,
27u,10/6/1988,0.000,
27u,10/7/1988,0.000,
27u,10/8/1988,0.000,
27u,10/9/1988,0.000,
27u,10/10/1988,0.000,
27u,10/11/1988,0.000,
27u,10/12/1988,0.000,
27u,10/13/1988,1.140,
27u,10/14/1988,0.160,
27u,10/15/1988,0.040,
27u,10/16/1988,0.320,
27u,10/17/1988,0.010,
27u,10/18/1988,0.220,
27u,10/19/1988,0.070,
27u,10/20/1988,0.000,
27u,10/21/1988,0.020,
27u,10/22/1988,0.000,
27u,10/23/1988,0.000,
27u,10/24/1988,0.000,
27u,10/25/1988,0.000,
27u,10/26/1988,0.000,
27u,10/27/1988,0.000,
27u,10/28/1988,0.000,
27u,10/29/1988,0.000,
27u,10/30/1988,0.400,
27u,10/31/1988,0.000,
27u,11/1/1988,0.020,
27u,11/2/1988,0.600,
27u,11/3/1988,0.310,
27u,11/4/1988,0.320,
27u,11/5/1988,1.010,
27u,11/6/1988,0.000,
27u,11/7/1988,0.000,
27u,11/8/1988,0.280,
27u,11/9/1988,0.100,
27u,11/10/1988,0.430,
27u,11/11/1988,0.220,
27u,11/12/1988,0.120,
27u,11/13/1988,0.000,
27u,11/14/1988,0.000,
27u,11/15/1988,0.090,
27u,11/16/1988,0.550,
27u,11/17/1988,0.330,
27u,11/18/1988,0.080,
27u,11/19/1988,0.280,
27u,11/20/1988,0.030,
27u,11/21/1988,0.380,
27u,11/22/1988,1.120,
27u,11/23/1988,0.110,
27u,11/24/1988,0.360,
27u,11/25/1988,0.090,
27u,11/26/1988,0.000,
27u,11/27/1988,0.150,
27u,11/28/1988,0.010,
27u,11/29/1988,0.000,
27u,11/30/1988,0.010,
27u,12/1/1988,0.000,
27u,12/2/1988,0.060,
27u,12/3/1988,0.010,
27u,12/4/1988,0.000,
27u,12/5/1988,0.000,
27u,12/6/1988,0.300,
27u,12/7/1988,0.320,
27u,12/8/1988,0.090,
27u,12/9/1988,0.010,
27u,12/10/1988,0.000,
27u,12/11/1988,0.220,
27u,12/12/1988,0.390,
27u,12/13/1988,0.080,
27u,12/14/1988,0.020,
27u,12/15/1988,0.000,
27u,12/16/1988,0.000,
27u,12/17/1988,0.000,
27u,12/18/1988,0.530,
27u,12/19/1988,0.060,
27u,12/20/1988,0.280,
27u,12/21/1988,0.040,
27u,12/22/1988,0.270,
27u,12/23/1988,0.050,
27u,12/24/1988,0.040,
27u,12/25/1988,0.000,
27u,12/26/1988,0.000,
27u,12/27/1988,0.000,
27u,12/28/1988,0.010,
27u,12/29/1988,0.690,
27u,12/30/1988,0.480,
27u,12/31/1988,0.240,
27u,1/1/1989,0.110,
27u,1/2/1989,0.170,
27u,1/3/1989,0.290,
27u,1/4/1989,0.210,
27u,1/5/1989,0.160,
27u,1/6/1989,0.200,
27u,1/7/1989,0.110,
27u,1/8/1989,0.880,
27u,1/9/1989,0.230,
